text,labels,source
"У меня остается только один вопрос - является ли этот приступ отчаяния ( а точнее приступ удивления , почему мне не становится лучше , почему мне ничего не помогает ) еще одним испытанием ?",[2],lj
Забавно как люди в возрасте удивляются входящим звонкам на мобильник),[0],twitter
"Мы в ужасе от того, что на этот раз был убит человек.",[3],lenta
"Все они , к сожалению , для школьников или просто детей .",[1],lj
"Кому они так необходимы, эти страдания?» А у меня спина болит, ходить больно :(",[1],twitter
/ С этим удивительным и снежным утром!,[0],twitter
Хотя что душой кривить все уже достало(((: У тебя тоже не фарт?,[1],twitter
"ну ты и хуйлыга( НЕ ЖОНА ТЫ МНЕ БОЛЕ, НЕ ЖОНА!",[4],twitter
"Добавьте муку и перемешайте - вы сами удивитесь , насколько все быстро произойдет !",[2],lj
"Новый врач тоже сделал полный осмотр , тоже ужаснулся и составил еще более длинный список дел .",[3],lj
Такой странный день сегодня... Я даже не ожидала :),[0],twitter
"В новозеландском, но это не удивительно :)",[0],twitter
"Елка такая стала не красивая, ужасная:((",[4],twitter
"Я боялась ехать в Нью-Йорк засветло , а уж возвращаться по ночным дорогам боялась вдвойне .",[3],lj
Не люблю пятницу-субботу...в эти дни мы не вмести...я скучаю любимый(,[1],twitter
"у меня как-то странно.. на айфе очень странно : сообщения приходят,но само приложение он не грузит почему-то(",[1 2],twitter
“  только что стал «самым счастливым человеком на Земле»!!!,[0],twitter
«Эммм как вы можете не промывать щетку в первую очередь?» — удивляется чистоплотный пользователь.,[2],lenta
"Я после оглашения состава , как и многие , удивился - почему нет ни одного футболиста из "" Ростова "" ?",[2],lj
"Вспомнилось лицо коллеги, который как-то наблюдал за тем, как я сначала наливала себе кипяток, а потом выпила его)",[0],twitter
"Сегодня разревелась на остановке, потому что там лежала собачка и мерзла ;(",[1],twitter
"Но футболист опасается, что если обратится в органы, то его выдворят из страны.",[3],lenta
"Только я успела все это рассмотреть и подивиться на петуха в миндале , как это ведение пропало за поворотом и наша машина понеслась дальше .",[2],lj
"только жюри веселили, они вчера какие-то странные были)))",[0],twitter
Поклонники с восторгом приняли рассказ О'Брайен и поддержали ее.,[0],lenta
«А кто-нибудь заметил на заднем плане странный летающий объект?» — отметил один из них.,[2],lenta
эх... щас мама уйдет буду музяку слушать а  то охринеть как скучно:(,[1],twitter
"соскучилась :( Закон подлости: у меня уже все сдано и много свободного времени, а у нее еще нет",[1],twitter
Домой :( #печаль #неудобное_сиденье #ноги_не_помещаются #капец_короче,[1],twitter
"Еду к стоматологу, сейчас от страха умру(",[3],twitter
"Я , кстати , была удивлена , увидев их на этой высоте в этом холоде : Вид на станцию : здесь традиционно находятся кафе-ресторан и сувенирный магазин .",[2],lj
"«Меня удивляет то, что мой опыт не уникален — с этим же сталкивались мои друзья и коллеги», — подчеркнула она.",[2],lenta
Скучаю по репетициям и новогодним елкам.,[1],twitter
"давай пятюню тогда, ну о/ хотя из-за этого меня считают еще более странным :-))",[0],twitter
"В этом плане "" Родители без границ "" меня очень приятно удивили .",[2],lj
"Ты представляешь , Великий Дракон разрешил выезжать за границу !",[2],lj
"По словам начальницы отдела по связям с общественностью компании Марии Алмазовой, послание было шуточным, и кто-то из пользователей даже начал знакомиться в комментариях ради совместного посещения душа.",[0],lenta
"Несмотря это, китаянка чувствовала себя хорошо, ей даже хватило мужества посмеяться над собой.",[0],lenta
"мне на работу скоро топать:( не хочу идти, тяну до последнего",[1],twitter
Перспектива ехать через всю страну манила интересными перспективами и в то же время немного страшила расстоянием .,[0],lj
"Что я наделал», — удивляется Саймон в одном из последующих постов.",[2],lenta
"«Люди разгневаны тем, что этот хулиган и его друг считают смешным и безобидным то, что они делают.",[4],lenta
"Первое , что мне бросилось в глаза в Лиме - это удивительная мешанина старого и нового .",[2],lj
Я рыдать буду;(,[1],twitter
я женщинам не доверяю они коварны и хитры  они на ногти клеят ногти  рисуют брови на бровях :DD,[0],twitter
"Однако пользователи недоумевали, почему, несмотря на знание правильного ответа, они упорно продолжают видеть разные картинки.",[2],lenta
"«Это самая удивительная реклама, что я видел в своей жизни», — восхитился один из зрителей.",[2],lenta
""" Да … - разочаровываюсь ,– тогда чем бы тебя еще удивить ? """,[1],lj
"Она недоумевает, откуда мог появиться ледяной нарост, если между стеклами нет очевидного источника влаги.",[2],lenta
"Стала тупой, злобной и ленивой(((",[1],twitter
"Мда... обидно, когда люди вынуждены уезжать, а страдаешь ты ((",[1],twitter
Метро))Пробками меня не напугать!!,[0],twitter
